company,website,status,ats_type,careers_url,roles_found,error
Etteplan,https://etteplan.com,scraped_text_only,,https://etteplan.com/careers/,0,
INSPHERE,https://insphereltd.com,scraped_text_only,,https://insphereltd.com/contact/,0,
AME-3D,https://ame-3d.co.uk,scraped_text_only,,https://ame-3d.co.uk/technologies/fused-deposition-modelling-fdm-3d-printing,0,
Arden Engraving,https://ardenengraving.com,scraped_text_only,,https://ardenengraving.com/careersweek-packaging/,0,
Farleygreene,https://farleygreene.com,scraped_text_only,,https://farleygreene.com/industries/,0,
Trident Engineering Consultants Limited,https://tridenteng.net,scraped_text_only,,https://tridenteng.net/about-us/careers,0,
AcoustoFab,https://acoustofab.co.uk,scraped_text_only,,https://acoustofab.co.uk#lightbox>contact-form,0,
Croft Filters,https://filters.co.uk,scraped_text_only,,https://filters.co.uk/careers,0,
BCW Group,https://bcwgroup.co.uk,scraped_text_only,,https://www.bcwgroup.co.uk/careers/,0,
Phoenix Scientific Industries,https://psiltd.co.uk,scraped_text_only,,https://www.psiltd.co.uk/solutions/deposition-systems/,0,
BSA Mouldings,https://bsamouldings.co.uk,scraped_text_only,,https://www.bsamouldings.co.uk/about-us/careers,0,
Matsuura Machinery,https://matsuura.co.uk,scraped_text_only,,https://matsuura.co.uk/careers/,0,
Connexion Technologies,https://connexiontechnologies.co.uk,scraped_text_only,,https://connexiontechnologies.co.uk/connect/careers/,0,
3DGBIRE,https://3dgbire.com,scraped_text_only,,https://3dgbire.com/pages/careers,0,
Ampco Metal,https://ampcometal.com,scraped_text_only,,https://www.ampcometal.com/working-at-ampco/,0,
Pentagon Plastics Group,https://pentagonplastics.co.uk,scraped_text_only,,https://pentagonplastics.co.uk/work-with-us,0,
Invibio,https://invibio.com,scraped_text_only,,https://invibio.com/en/about-us/careers,0,
Afd Systems,https://airframedesigns.com,scraped_text_only,,https://airframedesigns.com/careers,0,
KASTO,https://kasto.com,scraped_text_only,,https://kasto.com/en/company/career,0,
TRUMPF,https://trumpf.com,scraped_text_only,,https://trumpf.com/en_IN/careers/,0,
Palcam Technologies,https://palcam.com,scraped_text_only,,https://palcam.com/careers,0,
MachineWorks,https://machineworks.com,scraped_text_only,,https://machineworks.com/company/#careers,0,
Wayland Additive,https://waylandadditive.com,scraped_text_only,,https://waylandadditive.teamtailor.com,0,
Performance Engineered Solutions (PES),https://pes-performance.com,scraped_text_only,,https://pes-performance.com/our-team/,0,
Bloodhound LSR,https://bloodhoundlsr.com,scraped_text_only,,https://www.bloodhoundlsr.com/partners-sponsors/,0,
ST Engineering MRAS,https://mras-usa.com,scraped_text_only,,https://mras-usa.com/about-us/careers/,0,
Sodick Europe,https://sodick.eu,scraped_text_only,,https://sodick.eu/jobs,0,
Nuclear AMRC,https://namrc.co.uk,scraped_text_only,,https://namrc.co.uk,0,
Carfulan Group,https://carfulan.com,scraped_text_only,,https://carfulan.com/careers/,0,
Medical Technology UK,https://medicaltechnologyuk.com,scraped_text_only,,https://www.medicaltechnologyuk.com/news/where-there-is-investment--there-is-opportunity,0,
Shimadzu UK,https://shimadzu.co.uk,scraped_text_only,,https://www.shimadzu.co.uk/forms/training-2026.html,0,
Behringer,https://behringerltd.co.uk,scraped_text_only,,https://behringerltd.co.uk/jobs.html,0,
Skyrora,https://skyrora.com,scraped_text_only,,https://skyrora.com/career/,0,
Nabertherm,https://nabertherm.com,scraped_text_only,,https://nabertherm.com,0,
H.C. Starck Solutions,https://hcstarcksolutions.com,scraped_text_only,,https://www.hcstarcksolutions.com/careers-overview/,0,
Cambridge Vacuum Engineering,https://camvaceng.com,scraped_text_only,,https://camvaceng.com/about-us/careers/,0,
PlastikMedia,https://plastikmedia.co.uk,scraped_text_only,,https://www.plastikmedia.co.uk/wp-content/uploads/2026/01/Alliance-Tooling-Strengthens-Market-Position-with-Additional-Machining-Investment.pdf,0,
Ultrawave,https://ultrawave.co.uk,scraped_text_only,,https://ultrawave.co.uk/about-us/work-with-us/,0,
Axial3D,https://axial3d.com,scraped_text_only,,https://axial3d.com/careers/,0,
Ogle Models & Prototypes,https://oglemodels.com,scraped_text_only,,https://oglemodels.com/careers,0,
DEEP,https://deep.com,scraped_text_only,,https://deep.com/careers,0,
Photon Lines,https://photonlines.co.uk,scraped_text_only,,https://photonlines.co.uk/product-category/photonics-products/piezo-actuators-and-nanopositioning-systems/,0,
Team Bath Racing Electric,https://teambathracingelectric.com,scraped_text_only,,https://teambathracingelectric.com/recruitment,0,
Rapid Fusion,https://rapidfusion.co.uk,scraped_text_only,,https://rapidfusion.co.uk/blogs/case-studies/compute-maritime-about-research-technology-careers-newsroom-contact-worlds-first-ai-designed-crew-transfer-vessel-revealed-by-compute-maritime-and-partners,0,
Adaero Precision Components,https://adaero.co.uk,scraped_text_only,,https://adaero.co.uk/scientific-instruments,0,
CPI,https://uk-cpi.com,scraped_text_only,,https://www.uk-cpi.com/careers,0,
Central Patternmaking Limited,https://centralpatternmaking.co.uk,scraped_text_only,,https://www.centralpatternmaking.co.uk/vacancies/,0,
Europlaz Technologies,https://europlaz.co.uk,scraped_text_only,,https://europlaz.co.uk/careers/,0,
ActionPlas Group,https://actionplas.com,scraped_text_only,,https://actionplas.com/why-work-with-us,0,
VBC Group,https://vbcgroup.com,scraped_text_only,,https://www.vbcgroup.com/about/team/,0,
Kaizen PLM,https://kaizenplm.ie,scraped_text_only,,https://www.kaizenplm.ie/multi-axis-additive-deposition,0,
Aerospace Technology Institute,https://ati.org.uk,scraped_text_only,,https://www.ati.org.uk/about-us/working-at-ati/,0,
RAUMEDIC,https://raumedic.com,scraped_text_only,,https://raumedic.com/career,0,
Geomiq,https://geomiq.com,scraped_text_only,,https://geomiq.com/fdm-3d-printing-service/,0,
United Machining Solutions,https://ums.swiss,scraped_text_only,,https://ums.swiss/en/careers-1/,0,
SMC Corporation (UK),https://smc.uk,scraped_text_only,,https://smc.uk,0,
Purex International,https://purex.co.uk,scraped_text_only,,https://www.purex.co.uk/resources/insights/purex-international-creates-7-new-jobs-in-brough-including-apprenticeships-for-local-talent,0,
South West Metal Finishing,https://swmf.co.uk,scraped_text_only,,https://www.swmf.co.uk/careers/,0,
ActOn Finishing,https://acton-finishing.co.uk,scraped_text_only,,https://acton-finishing.co.uk/careers/,0,
PWP Industrial,https://pwpind.com,scraped_text_only,,https://pwpind.com/product-category/positioning-equipment/,0,
Paragon Rapid Technologies,https://paragon-rt.com,scraped_text_only,,https://paragon-rt.com/resources/careers/,0,
Wall Colmonoy,https://wallcolmonoy.com,scraped_text_only,,https://www.wallcolmonoy.com/contact/careers/,0,
Photocentric,https://photocentricgroup.com,scraped_text_only,,https://photocentricgroup.com/careers/,0,
TWI,https://twi-global.com,scraped_text_only,,https://twi-global.com/careers,0,
Swiss Steel Group,https://swisssteel-group.com,scraped_text_only,,https://swisssteel-group.com/en/career,0,
LATI Benefit Corporation,https://lati.com,scraped_text_only,,https://lati.com/en/work-with-us/,0,
M-Solv,https://m-solv.com,scraped_text_only,,https://m-solv.com/careers,0,
